ID;fullName;email;phoneNumber;supplier_ID
b853a51c-c2b6-4222-ace9-3d5e8491229b; Bob Buyer;bob.buyer@panorama-studios.biz;20644668800;eed5d09e-72c7-4c9e-afa4-7ba62ae41c47
e7b0f738-81aa-42f6-853a-9b8924114cd3;Bart Koenig; bart.koenig@tecum-ag.de;01712511415;c37b9b02-14ae-48f0-bf70-d16f50fbabca
f5e820d3-a35b-4318-8f0f-655a5b082bfb;Maria Brown;maria.brown@delbont.com;2053352668;f1bcff93-3dc1-4ef1-a9fd-c584b80a6195
6e2fbe22-a462-4db3-bd34-c4bc08777afb;Karl Müller;do.not.reply@sap.com;01783456789;33835a26-1fdd-415b-bb70-4a8b1f823d2f
5cdca029-3dbd-46dd-b324-cb7142892ce3;Frederik Christensen;frederik.christensen@dftc.dk;29233248;18ced4b7-13f0-489b-8610-eb08a8966f3d
ef67dbb7-8429-4d41-91f4-69b6661004b5;Jian Si;jian.si@siwusha.cn;6479751078;99378a33-076e-4b4d-9df1-b8e6798af2f5
bddbbdb5-e805-42ee-8209-6856ff2b405a; Karl Müller;do.not.reply@sap.com;01783456789;d2d774ef-7c7d-4657-bea8-febeed0e4593
55a55efb-16ed-4fe7-9f56-5dfe4ad3af4e; Saskia Sommer;saskia.sommer@talpa-hannover.de;01701403266;394b4bb4-6e9c-440b-9e98-d356455f0069
f3e2bc4b-5491-4ad4-9935-35303116162d;Alexis Harper; alexis.harper@flor-hc.com;21065470312;502dea9b-2933-4666-8309-3a9eea6672ca
14767b23-3354-4c67-a273-0bd84180237f; Jorge Velez;jorge.velez@telecomunicacionesstar.com;01123224060;1fb9bc2f-f19c-4a51-8dc5-30902cf566d2
8e0f93ec-9f19-4946-b757-e9d25cb8c52c;Franklin Jones;franklin.jones@pear-computing.com;20767890123;c3b0765f-0e73-4b7a-9532-4da12bfeaf75
d082cd13-6ae0-4e3d-b572-1c9acb062cfb;Amélie Troyat;amelie.troyat@angere.fr;613371485;272b6a89-eda5-4f29-b163-dec4efa40ea3
